"Name","Fill_rate","Normal_capacity","Reserve","Date"
"Oued El Makhazine","79.3","672.9","533.5","2018-11-16"
"Oued El Makhazine","45.4","672.9","305.3","2017-11-16"
"Hassan II","67.6","392.31","265.01","2018-11-16"
"Hassan II","16.9","392.31","66.3","2017-11-16"
"Oued ZA","95.7","94.9","90.8","2018-11-16"
"Oued ZA","18.1","94.9","17.2","2017-11-16"
"Mohamed V","99","239.5","237.1","2018-11-16"
"Mohamed V","5.8","239.5","13.9","2017-11-16"
"Idriss 1er","79.6","1129.6","899.1","2018-11-16"
"Idriss 1er","39.3","1129.6","444","2017-11-16"
"Al Wahda","58.5","3522.3","2062.1","2018-11-16"
"Al Wahda","42.3","3522.3","1489.4","2017-11-16"
"El Kensera","83.8","216.4","181.3","2018-11-16"
"El Kensera","41.4","216.4","89.6","2017-11-16"
"Bin El Ouidane","68.7","1215.5","835.1","2018-11-16"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-16"
"Al Hanssali","48.9","668.2","326.8","2018-11-16"
"Al Hanssali","34.9","668.2","233.3","2017-11-16"
"Al Massira","29.2","2657","774.8","2018-11-16"
"Al Massira","19.5","2657","517.6","2017-11-16"
"Oued El Makhazine","79.3","672.9","533.8","2018-11-17"
"Oued El Makhazine","45.3","672.9","305.1","2017-11-17"
"Hassan II","67.7","392.31","265.4","2018-11-17"
"Hassan II","16.9","392.31","66.3","2017-11-17"
"Oued ZA","95.7","94.9","90.8","2018-11-17"
"Oued ZA","18.1","94.9","17.2","2017-11-17"
"Mohamed V","98.8","239.5","236.6","2018-11-17"
"Mohamed V","5.8","239.5","13.9","2017-11-17"
"Idriss 1er","79.4","1129.6","896.5","2018-11-17"
"Idriss 1er","39.2","1129.6","443","2017-11-17"
"Al Wahda","58","3522.3","2044.2","2018-11-17"
"Al Wahda","42.2","3522.3","1487.2","2017-11-17"
"El Kensera","83.9","216.4","181.6","2018-11-17"
"El Kensera","41.1","216.4","88.9","2017-11-17"
"Bin El Ouidane","68.8","1215.5","836.5","2018-11-17"
"Bin El Ouidane","17.1","1215.5","207.7","2017-11-17"
"Al Hanssali","49","668.2","327.6","2018-11-17"
"Al Hanssali","34.7","668.2","231.7","2017-11-17"
"Al Massira","29.1","2657","774.2","2018-11-17"
"Al Massira","19.3","2657","511.8","2017-11-17"
"Oued El Makhazine","79.3","672.9","533.8","2018-11-18"
"Oued El Makhazine","45.3","672.9","304.6","2017-11-18"
"Hassan II","67.7","392.31","265.7","2018-11-18"
"Hassan II","16.9","392.31","66.3","2017-11-18"
"Oued ZA","95.7","94.9","90.9","2018-11-18"
"Oued ZA","18.2","94.9","17.3","2017-11-18"
"Mohamed V","96.8","239.5","231.8","2018-11-18"
"Mohamed V","5","239.5","11.9","2017-11-18"
"Idriss 1er","79","1129.6","892.5","2018-11-18"
"Idriss 1er","39.1","1129.6","441.6","2017-11-18"
"Al Wahda","57.9","3522.3","2038.9","2018-11-18"
"Al Wahda","42.2","3522.3","1485","2017-11-18"
"El Kensera","84.1","216.4","181.9","2018-11-18"
"El Kensera","40.7","216.4","88.1","2017-11-18"
"Bin El Ouidane","69","1215.5","838.2","2018-11-18"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-18"
"Al Hanssali","49.1","668.2","327.8","2018-11-18"
"Al Hanssali","34.7","668.2","231.8","2017-11-18"
"Al Massira","29.1","2657","774.2","2018-11-18"
"Al Massira","19.2","2657","509.9","2017-11-18"
"Oued El Makhazine","79.5","672.9","534.8","2018-11-19"
"Oued El Makhazine","45.2","672.9","304.4","2017-11-19"
"Hassan II","67.7","392.31","265.7","2018-11-19"
"Hassan II","16.9","392.31","66.3","2017-11-19"
"Oued ZA","95.8","94.9","90.9","2018-11-19"
"Oued ZA","18.2","94.9","17.3","2017-11-19"
"Mohamed V","96","239.5","229.9","2018-11-19"
"Mohamed V","5","239.5","11.9","2017-11-19"
"Idriss 1er","78.5","1129.6","887","2018-11-19"
"Idriss 1er","39","1129.6","440.3","2017-11-19"
"Al Wahda","57.8","3522.3","2037.1","2018-11-19"
"Al Wahda","42.1","3522.3","1482.1","2017-11-19"
"El Kensera","84.4","216.4","182.6","2018-11-19"
"El Kensera","40.4","216.4","87.4","2017-11-19"
"Bin El Ouidane","69.4","1215.5","843.2","2018-11-19"
"Bin El Ouidane","17.1","1215.5","207.5","2017-11-19"
"Al Hanssali","49.6","668.2","331.4","2018-11-19"
"Al Hanssali","34.8","668.2","232.7","2017-11-19"
"Al Massira","29.3","2657","777.2","2018-11-19"
"Al Massira","19.1","2657","508.4","2017-11-19"
"Oued El Makhazine","81.9","672.9","551.1","2018-11-20"
"Oued El Makhazine","45.2","672.9","303.9","2017-11-20"
"Hassan II","67.8","392.31","265.89","2018-11-20"
"Hassan II","16.9","392.31","66.3","2017-11-20"
"Oued ZA","96.5","94.9","91.6","2018-11-20"
"Oued ZA","18.3","94.9","17.4","2017-11-20"
"Mohamed V","96.2","239.5","230.4","2018-11-20"
"Mohamed V","5","239.5","11.9","2017-11-20"
"Idriss 1er","78.2","1129.6","883","2018-11-20"
"Idriss 1er","38.9","1129.6","438.9","2017-11-20"
"Al Wahda","58.1","3522.3","2047.8","2018-11-20"
"Al Wahda","42","3522.3","1479.9","2017-11-20"
"El Kensera","84.6","216.4","183.1","2018-11-20"
"El Kensera","40.1","216.4","86.8","2017-11-20"
"Bin El Ouidane","69.7","1215.5","847.2","2018-11-20"
"Bin El Ouidane","17.1","1215.5","207.5","2017-11-20"
"Al Hanssali","50.1","668.2","334.9","2018-11-20"
"Al Hanssali","34.9","668.2","233.3","2017-11-20"
"Al Massira","29.3","2657","777.2","2018-11-20"
"Al Massira","19","2657","505.1","2017-11-20"
"Oued El Makhazine","83.8","672.9","563.9","2018-11-21"
"Oued El Makhazine","45.1","672.9","303.6","2017-11-21"
"Hassan II","67.8","392.31","265.99","2018-11-21"
"Hassan II","16.9","392.31","66.2","2017-11-21"
"Oued ZA","96.6","94.9","91.7","2018-11-21"
"Oued ZA","18.4","94.9","17.5","2017-11-21"
"Mohamed V","96.4","239.5","230.9","2018-11-21"
"Mohamed V","5","239.5","11.9","2017-11-21"
"Idriss 1er","77.6","1129.6","876.6","2018-11-21"
"Idriss 1er","38.8","1129.6","437.9","2017-11-21"
"Al Wahda","58.5","3522.3","2061.2","2018-11-21"
"Al Wahda","42","3522.3","1479.9","2017-11-21"
"El Kensera","85.6","216.4","185.3","2018-11-21"
"El Kensera","40.1","216.4","86.8","2017-11-21"
"Bin El Ouidane","70","1215.5","850.7","2018-11-21"
"Bin El Ouidane","17.1","1215.5","207.5","2017-11-21"
"Al Hanssali","50.9","668.2","339.9","2018-11-21"
"Al Hanssali","34.9","668.2","233.2","2017-11-21"
"Al Massira","29.3","2657","779.1","2018-11-21"
"Al Massira","19","2657","504.1","2017-11-21"
"Oued El Makhazine","84.7","672.9","570.1","2018-11-22"
"Oued El Makhazine","45.1","672.9","303.1","2017-11-22"
"Hassan II","68","392.31","266.77","2018-11-22"
"Hassan II","16.9","392.31","66.2","2017-11-22"
"Oued ZA","96.7","94.9","91.8","2018-11-22"
"Oued ZA","18.5","94.9","17.5","2017-11-22"
"Mohamed V","98","239.5","234.7","2018-11-22"
"Mohamed V","3.7","239.5","8.8","2017-11-22"
"Idriss 1er","77.3","1129.6","873.1","2018-11-22"
"Idriss 1er","38.7","1129.6","436.9","2017-11-22"
"Al Wahda","58.7","3522.3","2067.4","2018-11-22"
"Al Wahda","42","3522.3","1479.9","2017-11-22"
"El Kensera","86.2","216.4","186.5","2018-11-22"
"El Kensera","40.1","216.4","86.8","2017-11-22"
"Bin El Ouidane","70.2","1215.5","853.6","2018-11-22"
"Bin El Ouidane","17.1","1215.5","207.5","2017-11-22"
"Al Hanssali","51.1","668.2","341.3","2018-11-22"
"Al Hanssali","35","668.2","233.7","2017-11-22"
"Al Massira","29.4","2657","782.1","2018-11-22"
"Al Massira","18.9","2657","502.2","2017-11-22"
"Oued El Makhazine","85.3","672.9","574","2018-11-23"
"Oued El Makhazine","45","672.9","302.9","2017-11-23"
"Hassan II","68.2","392.31","267.65","2018-11-23"
"Hassan II","16.9","392.31","66.2","2017-11-23"
"Oued ZA","96.8","94.9","91.9","2018-11-23"
"Oued ZA","18.6","94.9","17.6","2017-11-23"
"Mohamed V","98","239.5","234.7","2018-11-23"
"Mohamed V","3.8","239.5","9.1","2017-11-23"
"Idriss 1er","77","1129.6","870.1","2018-11-23"
"Idriss 1er","38.6","1129.6","435.9","2017-11-23"
"Al Wahda","58.7","3522.3","2067.4","2018-11-23"
"Al Wahda","42","3522.3","1479.9","2017-11-23"
"El Kensera","87","216.4","188.2","2018-11-23"
