"Name","Fill_rate","Normal_capacity","Reserve","Date"
"Al Wahda","60.4","3522.3","2127.2","2018-12-14"
"Al Wahda","42.4","3522.3","1492.3","2017-12-14"
"El Kensera","97.4","216.4","210.9","2018-12-14"
"El Kensera","43.7","216.4","94.7","2017-12-14"
"Bin El Ouidane","75.3","1215.5","915.5","2018-12-14"
"Bin El Ouidane","17.7","1215.5","215.4","2017-12-14"
"Al Hanssali","57.1","668.2","381.5","2018-12-14"
"Al Hanssali","37.1","668.2","247.7","2017-12-14"
"Al Massira","31.1","2657","826","2018-12-14"
"Al Massira","18.1","2657","480.2","2017-12-14"
"Oued El Makhazine","92.9","672.9","625.1","2018-12-15"
"Oued El Makhazine","45.9","672.9","308.7","2017-12-15"
"Hassan II","70.3","392.3","275.8","2018-12-15"
"Hassan II","16.8","392.3","65.8","2017-12-15"
"Oued ZA","97.9","94.9","92.9","2018-12-15"
"Oued ZA","15","94.9","14.3","2017-12-15"
"Mohamed V","89.5","239.5","214.3","2018-12-15"
"Mohamed V","10.4","239.5","24.9","2017-12-15"
"Idriss 1er","77.2","1129.6","872.6","2018-12-15"
"Idriss 1er","39.3","1129.6","444.3","2017-12-15"
"Al Wahda","60.5","3522.3","2129.9","2018-12-15"
"Al Wahda","42.4","3522.3","1493.1","2017-12-15"
"El Kensera","97.6","216.4","211.2","2018-12-15"
"El Kensera","43.9","216.4","95.1","2017-12-15"
"Bin El Ouidane","75.3","1215.5","914.9","2018-12-15"
"Bin El Ouidane","17.7","1215.5","215.6","2017-12-15"
"Al Hanssali","57.1","668.2","381.3","2018-12-15"
"Al Hanssali","37.2","668.2","248.7","2017-12-15"
"Al Massira","31.1","2657","826","2018-12-15"
"Al Massira","18.1","2657","480.7","2017-12-15"
"Oued El Makhazine","93.1","672.9","626.2","2018-12-16"
"Oued El Makhazine","46","672.9","309.7","2017-12-16"
"Hassan II","70.3","392.3","276","2018-12-16"
"Hassan II","16.8","392.3","65.8","2017-12-16"
"Oued ZA","97.9","94.9","92.9","2018-12-16"
"Oued ZA","15.2","94.9","14.4","2017-12-16"
"Mohamed V","89.3","239.5","213.8","2018-12-16"
"Mohamed V","10.3","239.5","24.8","2017-12-16"
"Idriss 1er","77.3","1129.6","873.6","2018-12-16"
"Idriss 1er","39.2","1129.6","442.3","2017-12-16"
"Al Wahda","60.5","3522.3","2132.7","2018-12-16"
"Al Wahda","42.4","3522.3","1493.1","2017-12-16"
"El Kensera","97.9","216.4","211.8","2018-12-16"
"El Kensera","44.2","216.4","95.7","2017-12-16"
"Bin El Ouidane","75.2","1215.5","914","2018-12-16"
"Bin El Ouidane","17.8","1215.5","215.9","2017-12-16"
"Al Hanssali","57.1","668.2","381.7","2018-12-16"
"Al Hanssali","37.4","668.2","249.7","2017-12-16"
"Al Massira","31.1","2657","826.7","2018-12-16"
"Al Massira","18.1","2657","481.1","2017-12-16"
"Oued El Makhazine","93.1","672.9","626.5","2018-12-17"
"Oued El Makhazine","46.6","672.9","313.4","2017-12-17"
"Hassan II","70.4","392.31","276.17","2018-12-17"
"Hassan II","16.8","392.31","65.7","2017-12-17"
"Oued ZA","97.9","94.9","92.9","2018-12-17"
"Oued ZA","15.3","94.9","14.5","2017-12-17"
"Mohamed V","88.7","239.5","212.5","2018-12-17"
"Mohamed V","10.3","239.5","24.8","2017-12-17"
"Idriss 1er","77.3","1129.6","873.1","2018-12-17"
"Idriss 1er","39","1129.6","440.6","2017-12-17"
"Al Wahda","60.6","3522.3","2134.5","2018-12-17"
"Al Wahda","42.5","3522.3","1496.7","2017-12-17"
"El Kensera","98.2","216.4","212.5","2018-12-17"
"El Kensera","44.2","216.4","95.8","2017-12-17"
"Bin El Ouidane","75.1","1215.5","913.4","2018-12-17"
"Bin El Ouidane","17.8","1215.5","216.4","2017-12-17"
"Al Hanssali","57.1","668.2","381.8","2018-12-17"
"Al Hanssali","37.5","668.2","250.7","2017-12-17"
"Al Massira","31.1","2657","827.3","2018-12-17"
"Al Massira","18.1","2657","481.6","2017-12-17"
"Oued El Makhazine","93.2","672.9","626.9","2018-12-18"
"Oued El Makhazine","46.7","672.9","314.4","2017-12-18"
"Hassan II","70.4","392.31","276.27","2018-12-18"
"Hassan II","16.7","392.31","65.7","2017-12-18"
"Oued ZA","98.1","94.9","93.1","2018-12-18"
"Oued ZA","15.5","94.9","14.7","2017-12-18"
"Mohamed V","88.2","239.5","211.2","2018-12-18"
"Mohamed V","10.3","239.5","24.8","2017-12-18"
"Idriss 1er","77.4","1129.6","874.1","2018-12-18"
"Idriss 1er","38.9","1129.6","439.3","2017-12-18"
"Al Wahda","60.7","3522.3","2136.3","2018-12-18"
"Al Wahda","42.6","3522.3","1501.1","2017-12-18"
"El Kensera","98.5","216.4","213.1","2018-12-18"
"El Kensera","44.3","216.4","96","2017-12-18"
"Bin El Ouidane","75.1","1215.5","912.5","2018-12-18"
"Bin El Ouidane","17.8","1215.5","216.6","2017-12-18"
"Al Hanssali","56.9","668.2","380.4","2018-12-18"
"Al Hanssali","37.7","668.2","251.8","2017-12-18"
"Al Massira","31.1","2657","826.7","2018-12-18"
"Al Massira","18.2","2657","483","2017-12-18"
"Oued El Makhazine","93.3","672.9","627.6","2018-12-19"
"Oued El Makhazine","46.8","672.9","315.1","2017-12-19"
"Hassan II","70.5","392.31","276.47","2018-12-19"
"Hassan II","16.7","392.31","65.7","2017-12-19"
"Oued ZA","98.1","94.9","93.1","2018-12-19"
"Oued ZA","15.7","94.9","14.9","2017-12-19"
"Mohamed V","87.8","239.5","210.3","2018-12-19"
"Mohamed V","10.3","239.5","24.8","2017-12-19"
"Idriss 1er","77.3","1129.6","873.6","2018-12-19"
"Idriss 1er","38.8","1129.6","438.6","2017-12-19"
"Al Wahda","60.7","3522.3","2139.1","2018-12-19"
"Al Wahda","42.7","3522.3","1502.6","2017-12-19"
"El Kensera","98.7","216.4","213.6","2018-12-19"
"El Kensera","44.4","216.4","96.1","2017-12-19"
"Bin El Ouidane","75","1215.5","911.9","2018-12-19"
"Bin El Ouidane","17.8","1215.5","216.9","2017-12-19"
"Al Hanssali","56.8","668.2","379.4","2018-12-19"
"Al Hanssali","37.8","668.2","252.7","2017-12-19"
"Al Massira","31","2657","824.2","2018-12-19"
"Al Massira","18.1","2657","482","2017-12-19"
"Oued El Makhazine","93.2","672.9","627.2","2018-12-20"
"Oued El Makhazine","46.9","672.9","315.3","2017-12-20"
"Hassan II","70.5","392.31","276.57","2018-12-20"
"Hassan II","16.7","392.31","65.7","2017-12-20"
"Oued ZA","98.1","94.9","93.1","2018-12-20"
"Oued ZA","15.9","94.9","15.1","2017-12-20"
"Mohamed V","87.4","239.5","209.4","2018-12-20"
"Mohamed V","10.4","239.5","24.9","2017-12-20"
"Idriss 1er","77.4","1129.6","874.1","2018-12-20"
"Idriss 1er","38.9","1129.6","439.3","2017-12-20"
"Al Wahda","60.7","3522.3","2139.1","2018-12-20"
"Al Wahda","42.7","3522.3","1503.4","2017-12-20"
"El Kensera","99","216.4","214.2","2018-12-20"
"El Kensera","44.4","216.4","96.1","2017-12-20"
"Bin El Ouidane","75","1215.5","911.9","2018-12-20"
"Bin El Ouidane","17.8","1215.5","216.9","2017-12-20"
"Al Hanssali","56.7","668.2","378.7","2018-12-20"
"Al Hanssali","37.7","668.2","252.2","2017-12-20"
"Al Massira","31","2657","823.5","2018-12-20"
"Al Massira","18.1","2657","481.1","2017-12-20"
"Oued El Makhazine","93.2","672.9","626.9","2018-12-21"
"Oued El Makhazine","46.9","672.9","315.6","2017-12-21"
"Hassan II","70.5","392.31","276.67","2018-12-21"
"Hassan II","16.7","392.31","65.7","2017-12-21"
"Oued ZA","98.1","94.9","93.1","2018-12-21"
"Oued ZA","16.1","94.9","15.3","2017-12-21"
"Mohamed V","86.9","239.5","208.1","2018-12-21"
"Mohamed V","8.5","239.5","20.4","2017-12-21"
"Idriss 1er","77.4","1129.6","874.6","2018-12-21"
"Idriss 1er","38.9","1129.6","439.6","2017-12-21"
"Al Wahda","60.8","3522.3","2140","2018-12-21"
"Al Wahda","42.7","3522.3","1504.1","2017-12-21"
"El Kensera","99.1","216.4","214.6","2018-12-21"
"El Kensera","44.4","216.4","96.1","2017-12-21"
"Bin El Ouidane","74.8","1215.5","909.8","2018-12-21"
"Bin El Ouidane","17.8","1215.5","216.9","2017-12-21"
"Al Hanssali","56.6","668.2","378.5","2018-12-21"
"Al Hanssali","37.8","668.2","252.6","2017-12-21"
"Al Massira","31","2657","822.9","2018-12-21"
"Al Massira","18.1","2657","480.7","2017-12-21"
"Oued El Makhazine","93.3","672.9","627.6","2018-12-22"
"Oued El Makhazine","46.9","672.9","315.6","2017-12-22"
"Hassan II","70.5","392.3","276.8","2018-12-22"
"Hassan II","16.7","392.3","65.6","2017-12-22"
"Oued ZA","98.2","94.9","93.2","2018-12-22"
"Oued ZA","16.3","94.9","15.4","2017-12-22"
"Mohamed V","85.8","239.5","205.5","2018-12-22"
"Mohamed V","8.5","239.5","20.4","2017-12-22"
"Idriss 1er","77.5","1129.6","875.1","2018-12-22"
"Idriss 1er","38.9","1129.6","439.6","2017-12-22"
"Al Wahda","60.8","3522.3","2140.9","2018-12-22"
"Al Wahda","42.7","3522.3","1504.8","2017-12-22"
"El Kensera","99.3","216.4","214.9","2018-12-22"
"El Kensera","44.4","216.4","96.2","2017-12-22"
"Bin El Ouidane","74.7","1215.5","908.6","2018-12-22"
"Bin El Ouidane","17.9","1215.5","217","2017-12-22"
"Al Hanssali","56.4","668.2","376.5","2018-12-22"
"Al Hanssali","37.9","668.2","253.1","2017-12-22"
"Al Massira","30.9","2657","821","2018-12-22"
"Al Massira","18.1","2657","480.7","2017-12-22"
"Oued El Makhazine","93.3","672.9","627.9","2018-12-23"
"Oued El Makhazine","46.9","672.9","315.8","2017-12-23"
"Hassan II","70.6","392.31","276.97","2018-12-23"
"Hassan II","16.7","392.31","65.6","2017-12-23"
"Oued ZA","98.2","94.9","93.2","2018-12-23"
"Oued ZA","16.4","94.9","15.6","2017-12-23"
"Mohamed V","85.1","239.5","203.8","2018-12-23"
"Mohamed V","8.6","239.5","20.6","2017-12-23"
"Idriss 1er","77.4","1129.6","874.1","2018-12-23"
"Idriss 1er","39","1129.6","440.3","2017-12-23"
"Al Wahda","60.8","3522.3","2142.7","2018-12-23"
"Al Wahda","42.7","3522.3","1504.8","2017-12-23"
"El Kensera","99.4","216.4","215.1","2018-12-23"
"El Kensera","44.5","216.4","96.4","2017-12-23"
"Bin El Ouidane","74.7","1215.5","907.7","2018-12-23"
"Bin El Ouidane","17.9","1215.5","217.2","2017-12-23"
"Al Hanssali","56.3","668.2","376.2","2018-12-23"
"Al Hanssali","37.9","668.2","253.4","2017-12-23"
"Al Massira","30.9","2657","821.7","2018-12-23"
"Al Massira","18.1","2657","481.1","2017-12-23"
"Oued El Makhazine","93.4","672.9","628.3","2018-12-24"
"Oued El Makhazine","46.9","672.9","315.8","2017-12-24"
"Hassan II","70.6","392.31","277.07","2018-12-24"
"Hassan II","16.7","392.31","65.6","2017-12-24"
"Oued ZA","98.2","94.9","93.2","2018-12-24"
"Oued ZA","16.4","94.9","15.6","2017-12-24"
"Mohamed V","84.4","239.5","202.1","2018-12-24"
"Mohamed V","8.6","239.5","20.6","2017-12-24"
"Idriss 1er","77.2","1129.6","872.6","2018-12-24"
"Idriss 1er","39","1129.6","440.3","2017-12-24"
"Al Wahda","60.9","3522.3","2143.6","2018-12-24"
"Al Wahda","42.7","3522.3","1504.8","2017-12-24"
"El Kensera","99.5","216.4","215.3","2018-12-24"
"El Kensera","44.5","216.4","96.4","2017-12-24"
"Bin El Ouidane","74.6","1215.5","907.4","2018-12-24"
"Bin El Ouidane","17.9","1215.5","217.2","2017-12-24"
"Al Hanssali","56.4","668.2","376.9","2018-12-24"
"Al Hanssali","37.9","668.2","253.4","2017-12-24"
"Al Massira","30.9","2657","821","2018-12-24"
"Al Massira","18.1","2657","481.1","2017-12-24"
"Oued El Makhazine","93.4","672.9","628.3","2018-12-25"
"Oued El Makhazine","46.9","672.9","315.8","2017-12-25"
"Hassan II","70.7","392.31","277.17","2018-12-25"
"Hassan II","16.7","392.31","65.6","2017-12-25"
"Oued ZA","98.2","94.9","93.2","2018-12-25"
"Oued ZA","16.7","94.9","15.9","2017-12-25"
"Mohamed V","83.7","239.5","200.4","2018-12-25"
"Mohamed V","8.6","239.5","20.7","2017-12-25"
"Idriss 1er","77.3","1129.6","873.1","2018-12-25"
"Idriss 1er","39","1129.6","440.6","2017-12-25"
"Al Wahda","60.7","3522.3","2138.2","2018-12-25"
"Al Wahda","42.7","3522.3","1505.6","2017-12-25"
"El Kensera","99.6","216.4","215.5","2018-12-25"
"El Kensera","44.6","216.4","96.4","2017-12-25"
"Bin El Ouidane","74.5","1215.5","906.1","2018-12-25"
"Bin El Ouidane","17.9","1215.5","217.5","2017-12-25"
"Al Hanssali","55.9","668.2","373.6","2018-12-25"
"Al Hanssali","38.2","668.2","255.2","2017-12-25"
"Al Massira","30.8","2657","818.5","2018-12-25"
"Al Massira","18.1","2657","481.1","2017-12-25"
"Oued El Makhazine","93.4","672.9","628.6","2018-12-26"
"Oued El Makhazine","47","672.9","316.1","2017-12-26"
"Hassan II","70.7","392.31","277.27","2018-12-26"
"Hassan II","16.7","392.31","65.6","2017-12-26"
"Oued ZA","98.2","94.9","93.2","2018-12-26"
"Oued ZA","16.9","94.9","16","2017-12-26"
"Mohamed V","83.2","239.5","199.2","2018-12-26"
"Mohamed V","8.6","239.5","20.7","2017-12-26"
"Idriss 1er","77.4","1129.6","874.6","2018-12-26"
"Idriss 1er","39","1129.6","440.6","2017-12-26"
"Al Wahda","60.6","3522.3","2134.5","2018-12-26"
"Al Wahda","42.8","3522.3","1506.3","2017-12-26"
"El Kensera","99.7","216.4","215.9","2018-12-26"
"El Kensera","44.6","216.4","96.5","2017-12-26"
"Bin El Ouidane","74.5","1215.5","905.2","2018-12-26"
"Bin El Ouidane","17.9","1215.5","217.6","2017-12-26"
"Al Hanssali","55.8","668.2","372.7","2018-12-26"
"Al Hanssali","38.3","668.2","255.8","2017-12-26"
"Al Massira","30.8","2657","818.5","2018-12-26"
"Al Massira","18.1","2657","480.7","2017-12-26"
"Oued El Makhazine","93.5","672.9","629","2018-12-27"
"Oued El Makhazine","47","672.9","316.6","2017-12-27"
"Hassan II","70.7","392.31","277.37","2018-12-27"
"Hassan II","16.7","392.31","65.6","2017-12-27"
"Oued ZA","98.2","94.9","93.2","2018-12-27"
"Oued ZA","17","94.9","16.2","2017-12-27"
"Mohamed V","82.8","239.5","198.3","2018-12-27"
"Mohamed V","8.6","239.5","20.7","2017-12-27"
"Idriss 1er","77.5","1129.6","875.1","2018-12-27"
"Idriss 1er","39","1129.6","441","2017-12-27"
"Al Wahda","60.7","3522.3","2136.3","2018-12-27"
"Al Wahda","42.8","3522.3","1507","2017-12-27"
"El Kensera","99.5","216.4","215.3","2018-12-27"
"El Kensera","44.7","216.4","96.6","2017-12-27"
"Bin El Ouidane","74.4","1215.5","904","2018-12-27"
"Bin El Ouidane","17.9","1215.5","217.9","2017-12-27"
"Al Hanssali","55.8","668.2","372.5","2018-12-27"
"Al Hanssali","38.4","668.2","256.4","2017-12-27"
"Al Massira","30.8","2657","818.5","2018-12-27"
"Al Massira","18.1","2657","480.7","2017-12-27"
"Oued El Makhazine","93.6","672.9","629.7","2018-12-28"
"Oued El Makhazine","48","672.9","323","2017-12-28"
"Hassan II","70.7","392.31","277.47","2018-12-28"
"Hassan II","16.7","392.31","65.6","2017-12-28"
"Oued ZA","98.2","94.9","93.2","2018-12-28"
"Oued ZA","17.2","94.9","16.3","2017-12-28"
"Mohamed V","82.8","239.5","198.3","2018-12-28"
"Mohamed V","8.7","239.5","20.8","2017-12-28"
"Idriss 1er","77.4","1129.6","874.6","2018-12-28"
"Idriss 1er","39.1","1129.6","441.6","2017-12-28"
"Al Wahda","60.7","3522.3","2137.2","2018-12-28"
"Al Wahda","43.1","3522.3","1517.4","2017-12-28"
"El Kensera","99","216.4","214.2","2018-12-28"
"El Kensera","44.7","216.4","96.7","2017-12-28"
"Bin El Ouidane","74.3","1215.5","903.1","2018-12-28"
"Bin El Ouidane","17.9","1215.5","218.1","2017-12-28"
"Al Hanssali","55.6","668.2","371.3","2018-12-28"
"Al Hanssali","38.4","668.2","256.8","2017-12-28"
"Al Massira","30.8","2657","817.9","2018-12-28"
"Al Massira","18.1","2657","480.7","2017-12-28"
"Oued El Makhazine","93.6","672.9","630.1","2018-12-29"
"Oued El Makhazine","48.7","672.9","327.6","2017-12-29"
"Hassan II","70.8","392.3","277.6","2018-12-29"
"Hassan II","16.7","392.3","65.6","2017-12-29"
"Oued ZA","98.2","94.9","93.2","2018-12-29"
"Oued ZA","17.3","94.9","16.5","2017-12-29"
"Mohamed V","82.3","239.5","197.1","2018-12-29"
"Mohamed V","8.7","239.5","20.8","2017-12-29"
"Idriss 1er","77.3","1129.6","873.6","2018-12-29"
"Idriss 1er","39.2","1129.6","443","2017-12-29"
"Al Wahda","60.7","3522.3","2139.1","2018-12-29"
"Al Wahda","43.3","3522.3","1526.3","2017-12-29"
"El Kensera","98.2","216.4","212.5","2018-12-29"
"El Kensera","44.8","216.4","96.9","2017-12-29"
"Bin El Ouidane","74.2","1215.5","901.3","2018-12-29"
"Bin El Ouidane","18","1215.5","218.4","2017-12-29"
"Al Hanssali","55.5","668.2","370.6","2018-12-29"
"Al Hanssali","38.6","668.2","257.8","2017-12-29"
"Al Massira","30.7","2657","816.6","2018-12-29"
"Al Massira","18.1","2657","479.7","2017-12-29"
"Oued El Makhazine","93.7","672.9","630.4","2018-12-30"
"Oued El Makhazine","49.1","672.9","330.1","2017-12-30"
"Hassan II","70.8","392.3","277.7","2018-12-30"
"Hassan II","16.7","392.3","65.6","2017-12-30"
"Oued ZA","98.2","94.9","93.2","2018-12-30"
"Oued ZA","17.5","94.9","16.6","2017-12-30"
"Mohamed V","81.8","239.5","195.9","2018-12-30"
"Mohamed V","8.7","239.5","20.8","2017-12-30"
"Idriss 1er","77.2","1129.6","872.6","2018-12-30"
"Idriss 1er","39.3","1129.6","444","2017-12-30"
"Al Wahda","60.8","3522.3","2140","2018-12-30"
"Al Wahda","43.3","3522.3","1526.3","2017-12-30"
"El Kensera","97.7","216.4","211.4","2018-12-30"
"El Kensera","44.8","216.4","96.9","2017-12-30"
"Bin El Ouidane","74.1","1215.5","900.7","2018-12-30"
"Bin El Ouidane","18","1215.5","218.9","2017-12-30"
"Al Hanssali","55.5","668.2","370.6","2018-12-30"
"Al Hanssali","38.7","668.2","258.5","2017-12-30"
"Al Massira","30.6","2657","812.3","2018-12-30"
"Al Massira","18.1","2657","479.7","2017-12-30"
"Oued El Makhazine","93.7","672.9","630.8","2018-12-31"
"Oued El Makhazine","49.2","672.9","331.4","2017-12-31"
"Hassan II","70.8","392.3","277.8","2018-12-31"
"Hassan II","16.7","392.3","65.6","2017-12-31"
"Oued ZA","98.3","94.9","93.3","2018-12-31"
"Oued ZA","17.7","94.9","16.8","2017-12-31"
"Mohamed V","81.1","239.5","194.3","2018-12-31"
"Mohamed V","8.9","239.5","21.2","2017-12-31"
"Idriss 1er","77.2","1129.6","872.1","2018-12-31"
"Idriss 1er","39.4","1129.6","444.7","2017-12-31"
"Al Wahda","60.8","3522.3","2140.9","2018-12-31"
"Al Wahda","43.5","3522.3","1533","2017-12-31"
"El Kensera","97.7","216.4","211.4","2018-12-31"
"El Kensera","44.9","216.4","97.2","2017-12-31"
"Bin El Ouidane","74","1215.5","899.8","2018-12-31"
"Bin El Ouidane","18","1215.5","219.1","2017-12-31"
"Al Hanssali","55.5","668.2","371.1","2018-12-31"
"Al Hanssali","38.7","668.2","258.7","2017-12-31"
"Al Massira","30.5","2657","810.4","2018-12-31"
"Al Massira","18.1","2657","479.7","2017-12-31"
"Oued El Makhazine","93.8","672.9","631.1","2019-01-01"
"Oued El Makhazine","49.2","672.9","331.4","2018-01-01"
"Hassan II","70.8","392.31","277.88","2019-01-01"
"Hassan II","16.7","392.31","65.6","2018-01-01"
"Oued ZA","98.3","94.9","93.3","2019-01-01"
"Oued ZA","17.7","94.9","16.8","2018-01-01"
"Mohamed V","80.3","239.5","192.3","2019-01-01"
"Mohamed V","8.9","239.5","21.2","2018-01-01"
"Idriss 1er","77.2","1129.6","871.6","2019-01-01"
"Idriss 1er","39.4","1129.6","444.7","2018-01-01"
"Al Wahda","60.8","3522.3","2142.7","2019-01-01"
"Al Wahda","43.5","3522.3","1533","2018-01-01"
"El Kensera","97.9","216.4","211.8","2019-01-01"
"El Kensera","44.9","216.4","97.2","2018-01-01"
"Bin El Ouidane","74","1215.5","898.9","2019-01-01"
"Bin El Ouidane","18","1215.5","219.1","2018-01-01"
"Al Hanssali","55.5","668.2","370.6","2019-01-01"
"Al Hanssali","38.7","668.2","258.7","2018-01-01"
"Al Massira","30.3","2657","806.1","2019-01-01"
"Al Massira","18.1","2657","479.7","2018-01-01"
"Oued El Makhazine","93.9","672.9","631.5","2019-01-02"
"Oued El Makhazine","49.5","672.9","332.9","2018-01-02"
"Hassan II","70.9","392.31","277.98","2019-01-02"
"Hassan II","16.7","392.31","65.5","2018-01-02"
"Oued ZA","98.3","94.9","93.3","2019-01-02"
"Oued ZA","17.9","94.9","17","2018-01-02"
"Mohamed V","79.3","239.5","189.9","2019-01-02"
"Mohamed V","7.1","239.5","17.1","2018-01-02"
"Idriss 1er","77.1","1129.6","871.1","2019-01-02"
"Idriss 1er","39.5","1129.6","445.7","2018-01-02"
"Al Wahda","60.9","3522.3","2143.6","2019-01-02"
"Al Wahda","43.6","3522.3","1537.5","2018-01-02"
"El Kensera","98","216.4","212.2","2019-01-02"
"El Kensera","45.3","216.4","97.9","2018-01-02"
"Bin El Ouidane","73.9","1215.5","897.7","2019-01-02"
"Bin El Ouidane","18.1","1215.5","219.6","2018-01-02"
"Al Hanssali","55.7","668.2","372.2","2019-01-02"
"Al Hanssali","38.9","668.2","260","2018-01-02"
"Al Massira","30.3","2657","806.1","2019-01-02"
"Al Massira","18.1","2657","479.7","2018-01-02"
"Oued El Makhazine","93.9","672.9","631.5","2019-01-03"
"Oued El Makhazine","49.5","672.9","333.4","2018-01-03"
"Hassan II","70.9","392.31","278.08","2019-01-03"
"Hassan II","16.7","392.31","65.5","2018-01-03"
"Oued ZA","98.4","94.9","93.4","2019-01-03"
"Oued ZA","18","94.9","17.1","2018-01-03"
"Mohamed V","78.8","239.5","188.7","2019-01-03"
"Mohamed V","7.2","239.5","17.2","2018-01-03"
"Idriss 1er","77.2","1129.6","871.6","2019-01-03"
"Idriss 1er","39.5","1129.6","446.4","2018-01-03"
"Al Wahda","60.9","3522.3","2144.5","2019-01-03"
"Al Wahda","43.7","3522.3","1539","2018-01-03"
"El Kensera","98.2","216.4","212.5","2019-01-03"
"El Kensera","45.3","216.4","97.9","2018-01-03"
"Bin El Ouidane","73.8","1215.5","896.8","2019-01-03"
"Bin El Ouidane","18.1","1215.5","219.9","2018-01-03"
"Al Hanssali","55.5","668.2","371","2019-01-03"
"Al Hanssali","39.1","668.2","261","2018-01-03"
"Al Massira","30.2","2657","803","2019-01-03"
"Al Massira","18.1","2657","479.7","2018-01-03"
"Oued El Makhazine","93.9","672.9","631.9","2019-01-04"
"Oued El Makhazine","49.6","672.9","333.9","2018-01-04"
"Hassan II","70.9","392.31","278.08","2019-01-04"
"Hassan II","16.7","392.31","65.5","2018-01-04"
"Oued ZA","98.4","94.9","93.4","2019-01-04"
"Oued ZA","18.3","94.9","17.4","2018-01-04"
"Mohamed V","78.3","239.5","187.5","2019-01-04"
"Mohamed V","7.2","239.5","17.2","2018-01-04"
"Idriss 1er","77.2","1129.6","872.6","2019-01-04"
"Idriss 1er","39.6","1129.6","447.1","2018-01-04"
"Al Wahda","60.9","3522.3","2145.5","2019-01-04"
"Al Wahda","43.7","3522.3","1540.4","2018-01-04"
"El Kensera","98.4","216.4","212.9","2019-01-04"
"El Kensera","45.3","216.4","97.9","2018-01-04"
"Bin El Ouidane","73.7","1215.5","895.9","2019-01-04"
"Bin El Ouidane","18.1","1215.5","220.1","2018-01-04"
"Al Hanssali","55.7","668.2","372.4","2019-01-04"
"Al Hanssali","39.2","668.2","261.9","2018-01-04"
"Al Massira","30.1","2657","799.3","2019-01-04"
"Al Massira","18.1","2657","480.7","2018-01-04"
"Oued El Makhazine","94","672.9","632.2","2019-01-05"
"Oued El Makhazine","49.7","672.9","334.4","2018-01-05"
"Hassan II","70.9","392.31","278.18","2019-01-05"
"Hassan II","16.7","392.31","65.5","2018-01-05"
"Oued ZA","98.4","94.9","93.4","2019-01-05"
"Oued ZA","18.5","94.9","17.6","2018-01-05"
"Mohamed V","78.3","239.5","187.5","2019-01-05"
"Mohamed V","7.2","239.5","17.3","2018-01-05"
"Idriss 1er","77.2","1129.6","872.6","2019-01-05"
"Idriss 1er","39.6","1129.6","447.7","2018-01-05"
"Al Wahda","61","3522.3","2147.3","2019-01-05"
"Al Wahda","43.8","3522.3","1541.2","2018-01-05"
"El Kensera","98.5","216.4","213.3","2019-01-05"
"El Kensera","45.3","216.4","97.9","2018-01-05"
"Bin El Ouidane","73.6","1215.5","895","2019-01-05"
"Bin El Ouidane","18.1","1215.5","220.4","2018-01-05"
"Al Hanssali","56","668.2","373.9","2019-01-05"
"Al Hanssali","39.3","668.2","262.7","2018-01-05"
"Al Massira","29.9","2657","794.3","2019-01-05"
"Al Massira","18.1","2657","479.7","2018-01-05"
"Oued El Makhazine","94","672.9","632.6","2019-01-06"
"Oued El Makhazine","49.7","672.9","334.4","2018-01-06"
"Hassan II","70.9","392.31","278.18","2019-01-06"
"Hassan II","16.7","392.31","65.5","2018-01-06"
"Oued ZA","98.4","94.9","93.4","2019-01-06"
"Oued ZA","18.7","94.9","17.7","2018-01-06"
"Mohamed V","78.1","239.5","187.1","2019-01-06"
"Mohamed V","7.2","239.5","17.3","2018-01-06"
"Idriss 1er","77.1","1129.6","871.1","2019-01-06"
"Idriss 1er","39.7","1129.6","448.4","2018-01-06"
"Al Wahda","61","3522.3","2147.3","2019-01-06"
"Al Wahda","43.8","3522.3","1542.7","2018-01-06"
"El Kensera","98.7","216.4","213.6","2019-01-06"
"El Kensera","45.3","216.4","98.1","2018-01-06"
"Bin El Ouidane","73.6","1215.5","894.4","2019-01-06"
"Bin El Ouidane","18.2","1215.5","220.6","2018-01-06"
"Al Hanssali","56.2","668.2","375.3","2019-01-06"
"Al Hanssali","39.4","668.2","263.3","2018-01-06"
"Al Massira","29.9","2657","793.7","2019-01-06"
"Al Massira","18","2657","478.8","2018-01-06"
"Oued El Makhazine","94","672.9","632.6","2019-01-07"
"Oued El Makhazine","50.2","672.9","337.5","2018-01-07"
"Hassan II","70.9","392.31","278.28","2019-01-07"
"Hassan II","16.7","392.31","65.4","2018-01-07"
"Oued ZA","98.5","94.9","93.5","2019-01-07"
"Oued ZA","18.9","94.9","17.9","2018-01-07"
"Mohamed V","77.6","239.5","186","2019-01-07"
"Mohamed V","7.2","239.5","17.3","2018-01-07"
"Idriss 1er","77.1","1129.6","870.6","2019-01-07"
"Idriss 1er","39.9","1129.6","450.1","2018-01-07"
"Al Wahda","61","3522.3","2149.1","2019-01-07"
"Al Wahda","43.9","3522.3","1545.7","2018-01-07"
"El Kensera","98.7","216.4","213.6","2019-01-07"
"El Kensera","45.7","216.4","98.9","2018-01-07"
"Bin El Ouidane","73.6","1215.5","894.1","2019-01-07"
"Bin El Ouidane","18.2","1215.5","221.2","2018-01-07"
"Al Hanssali","56.5","668.2","377.3","2019-01-07"
"Al Hanssali","39.7","668.2","265.3","2018-01-07"
"Al Massira","29.8","2657","793.1","2019-01-07"
